"Codigo","Edad","Empleado","Estado Civil","Ocupacion","Genero","Horas por semana","Pais"
3477,30,"Publico-Departamental","Casado","Personal administrativo","Male",40,"United-States"
3577,22,"Publico-Nacional","Casado","Servicios generales","Male",15,"United-States"
3777,21,"Privado","Soltero","Personal de inspeccion ","Male",40,"United-States"
3877,19,"Privado","Casado","Personal administrativo","Female",25,"United-States"
4077,48,"Independiente","Casado","Personal especializado","Male",40,"United-States"
4177,31,"Privado","Casado","Personal de inspeccion ","Male",43,"United-States"
4277,53,"Independiente","Casado","Personal especializado","Male",40,"United-States"
4377,24,"Privado","Casado","Apoyo técnico","Male",50,"United-States"
4477,49,"Privado","Separado","Personal administrativo","Female",40,"United-States"
4577,25,"Privado","Soltero","Personal de aseo","Male",35,"United-States"
4677,57,"Publico-Departamental","Casado","Personal especializado","Male",40,"United-States"
4777,53,"Privado","Casado","Personal de inspeccion ","Male",38,"United-States"
4877,44,"Privado","Divorciado","Ejecutivo y Gerencial","Female",40,"United-States"
4977,41,"Publico-Nacional","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
5077,29,"Privado","Soltero","Personal especializado","Male",43,"United-States"
5177,25,"Privado","Casado","Ejecutivo y Gerencial","Female",40,"United-States"
5477,50,"Publico-Departamental","Divorciado","Ejecutivo y Gerencial","Male",55,"United-States"
5577,47,"Independiente","Divorciado","Ejecutivo y Gerencial","Male",60,"United-States"
5677,43,"Privado","Casado","Apoyo técnico","Male",40,"United-States"
5977,41,"Privado","Casado","Personal administrativo","Male",48,"United-States"
6077,30,"Privado","Casado","Personal de inspeccion ","Male",40,"United-States"
6177,30,"Privado","Casado","Ventas","Male",40,"United-States"
6377,48,"Privado","Casado","Transporte","Male",40,"United-States"
6477,42,"Privado","Casado","Personal especializado","Male",45,"United-States"
6577,29,"Privado","Divorciado","Apoyo técnico","Male",58,"United-States"
6677,36,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
6777,28,"Privado","Divorciado","Personal administrativo","Female",40,"United-States"
6877,53,"Privado","Casado","Personal administrativo","Female",40,"United-States"
6977,49,"Independiente","Casado","Ejecutivo y Gerencial","Male",50,"United-States"
7077,25,,"Soltero",,"Male",40,"United-States"
7177,19,"Privado","Soltero","Personal especializado","Male",32,"United-States"
7277,31,"Privado","Separado","Ventas","Female",40,"United-States"
7377,29,"Independiente","Casado","Ventas","Male",70,"United-States"
7477,23,"Privado","Soltero","Personal de inspeccion ","Male",40,"United-States"
7577,79,"Privado","Casado","Personal especializado","Male",20,"United-States"
7777,40,"Privado","Casado","Personal administrativo","Male",40,"United-States"
7877,67,,"Casado",,"Male",2,"United-States"
7977,18,"Privado","Soltero","Servicios generales","Female",22,"United-States"
8077,31,"Publico-Municipal","Casado","Agricultura","Male",40,"United-States"
8177,18,"Privado","Soltero","Ventas","Male",30,"United-States"
8377,46,"Privado","Casado","Servicios generales","Female",40,"United-States"
8477,59,"Privado","Casado","Ventas","Male",48,"United-States"
8577,44,"Privado","Divorciado","Mantenimiento y Reparaciones generales","Female",40,"United-States"
8677,53,"Privado","Divorciado","Ventas","Female",35,"United-States"
8777,49,"Publico-Municipal","Casado","Servicios de Telecomunicaciones","Male",40,"United-States"
8877,33,"Privado","Casado","Personal especializado","Male",50,"United-States"
8977,30,"Privado","Soltero","Ventas","Male",40,"United-States"
9077,43,"Publico-Departamental","Soltero","Personal especializado","Female",50,"United-States"
9177,57,"Privado","Casado","Personal especializado","Male",40,"United-States"
9277,37,"Privado","Divorciado","Mantenimiento y Reparaciones generales","Female",40,"United-States"
9377,28,"Privado","Divorciado","Personal de inspeccion ","Female",25,"United-States"
9577,34,"Publico-Municipal","Casado","Servicios de Telecomunicaciones","Male",40,"United-States"
9677,29,"Publico-Municipal","Soltero","Personal de aseo","Male",50,"United-States"
9777,48,"Independiente","Casado","Personal especializado","Male",60,"United-States"
9877,37,"Privado","Casado","Ventas","Male",48,"United-States"
10077,32,"Publico-Departamental","Soltero","Servicios generales","Male",40,"United-States"
10177,76,"Privado","Casado","Ejecutivo y Gerencial","Male",40,"United-States"
10277,44,"Privado","Casado","Ejecutivo y Gerencial","Male",60,"United-States"
10377,47,"Independiente","Soltero","Personal especializado","Female",50,"United-States"
10477,20,"Privado","Soltero","Apoyo técnico","Female",40,"United-States"
10577,29,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",40,"United-States"
10677,32,"Independiente","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
10777,17,,"Soltero",,"Female",32,"United-States"
10877,30,"Privado","Soltero","Personal de aseo","Male",40,"United-States"
10977,31,"Publico-Municipal","Soltero","Personal administrativo","Female",40,"United-States"
11077,42,"Privado","Casado","Personal de aseo","Male",40,"United-States"
11177,24,"Privado","Soltero","Ventas","Male",40,"United-States"
11277,38,"Privado","Casado","Personal especializado","Male",40,"United-States"
11477,28,"Privado","Casado","Ventas","Female",25,"United-States"
11577,36,"Privado","Soltero","Personal de inspeccion ","Female",40,"United-States"
11677,53,"Privado","Casado","Personal de aseo","Male",50,"United-States"
11777,56,"Independiente","Casado","Ventas","Male",50,"United-States"
11877,49,"Publico-Municipal","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
11977,55,"Privado","Casado","Ventas","Male",56,"United-States"
12077,22,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",41,"United-States"
12177,21,"Privado","Soltero","Servicios generales","Female",40,"United-States"
12277,40,"Privado","Casado","Ejecutivo y Gerencial","Male",60,"United-States"
12477,29,"Publico-Nacional","Casado","Personal especializado","Male",50,"United-States"
12577,19,"Privado","Soltero","Servicios generales","Male",35,"United-States"
12677,47,"Privado","Casado","Ejecutivo y Gerencial","Female",40,"United-States"
12777,20,"Privado","Soltero","Personal administrativo","Female",28,"United-States"
12877,31,"Privado","Casado","Personal administrativo","Male",40,"United-States"
12977,35,,"Casado",,"Male",40,"United-States"
13077,39,"Privado","Divorciado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
13177,28,"Privado","Soltero","Ventas","Female",60,"United-States"
13277,24,"Privado","Soltero","Servicios generales","Female",40,"United-States"
13377,38,"Independiente","Casado","Mantenimiento y Reparaciones generales","Male",35,"United-States"
13477,37,"Privado","Casado","Ventas","Male",50,"United-States"
13577,46,"Privado","Divorciado","Apoyo técnico","Female",36,"United-States"
13777,43,"Independiente","Casado","Mantenimiento y Reparaciones generales","Male",60,"United-States"
13877,27,"Privado","Casado","Personal administrativo","Female",35,"United-States"
13977,20,"Privado","Soltero","Ventas","Male",20,"United-States"
14077,49,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
14177,61,"Independiente","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
14277,27,"Privado","Soltero","Ventas","Female",40,"United-States"
14477,45,"Privado","Soltero","Personal especializado","Female",40,"United-States"
14577,70,"Privado","Soltero","Apoyo técnico","Male",40,"United-States"
14677,31,"Privado","Soltero","Transporte","Female",30,"United-States"
14777,22,"Privado","Casado","Servicios generales","Male",24,"United-States"
14877,36,"Privado","Viudo","Servicios generales","Female",24,"United-States"
14977,64,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
15077,43,,"Divorciado",,"Female",40,"United-States"
15277,34,"Privado","Soltero","Personal administrativo","Female",40,"United-States"
15477,21,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",35,"United-States"
15577,52,,"Divorciado",,"Male",45,"United-States"
15677,48,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",46,"United-States"
15777,23,"Privado","Soltero","Personal de aseo","Male",40,"United-States"
15877,71,"Independiente","Separado","Ventas","Male",2,"United-States"
15977,29,"Privado","Divorciado","Mantenimiento y Reparaciones generales","Male",60,"United-States"
16077,42,"Privado","Separado","Servicios generales","Male",50,"United-States"
16177,68,,"Divorciado",,"Female",20,"United-States"
16277,25,"Privado","Soltero","Servicios generales","Female",40,"United-States"
16377,44,"Independiente","Divorciado","Ejecutivo y Gerencial","Female",40,"United-States"
16577,45,"Independiente","Casado","Ventas","Male",40,"United-States"
16777,39,"Publico-Departamental","Soltero","Ejecutivo y Gerencial","Male",42,"United-States"
16877,46,"Publico-Nacional","Viudo","Servicios de Telecomunicaciones","Male",40,"United-States"
16977,18,"Privado","Soltero","Personal de aseo","Male",16,"United-States"
17077,66,"Publico-Municipal","Viudo","Personal especializado","Female",20,"United-States"
17177,27,"Privado","Soltero","Servicios generales","Male",40,"United-States"
17277,28,"Publico-Nacional","Casado","Servicios de Telecomunicaciones","Male",40,"United-States"
17377,51,"Privado","Casado","Ventas","Male",40,"United-States"
17477,27,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",50,"United-States"
17577,28,"Publico-Nacional","Casado","Personal especializado","Male",40,"United-States"
17677,27,"Privado","Casado","Ventas","Female",25,"United-States"
17777,21,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",40,"United-States"
17877,34,"Privado","Soltero","Personal de aseo","Male",40,"United-States"
17977,18,"Privado","Soltero","Servicios generales","Male",12,"United-States"
18077,33,"Privado","Casado","Personal especializado","Male",65,"United-States"
18177,44,"Publico-Municipal","Casado","Ejecutivo y Gerencial","Male",38,"United-States"
18277,43,"Privado","Divorciado","Personal administrativo","Female",40,"United-States"
18377,30,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",45,"United-States"
18577,37,"Publico-Departamental","Casado","Personal administrativo","Male",42,"United-States"
18677,34,"Privado","Casado","Personal administrativo","Male",40,"United-States"
18777,41,"Independiente","Divorciado","Ejecutivo y Gerencial","Female",40,"United-States"
18877,53,,"Divorciado",,"Female",50,"United-States"
18977,31,"Privado","Casado","Personal especializado","Female",50,"United-States"
19077,58,"Publico-Nacional","Casado","Personal especializado","Male",1,"United-States"
19177,38,"Privado","Divorciado","Personal de inspeccion ","Female",28,"United-States"
19277,24,"Privado","Casado","Personal de inspeccion ","Male",40,"United-States"
19377,41,"Publico-Municipal","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
19477,47,"Privado","Casado","Apoyo técnico","Male",45,"United-States"
19577,41,"Publico-Departamental","Casado","Apoyo técnico","Male",24,"United-States"
19777,36,"Privado","Divorciado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
19877,40,"Publico-Departamental","Soltero","Ejecutivo y Gerencial","Female",55,"United-States"
19977,35,"Privado","Casado","Personal especializado","Male",40,"United-States"
20077,24,"Independiente","Soltero","Ventas","Male",40,"United-States"
20177,26,"Privado","Soltero","Personal especializado","Female",40,"United-States"
20377,51,"Privado","Casado","Ejecutivo y Gerencial","Male",50,"United-States"
20477,42,"Publico-Municipal","Soltero","Personal especializado","Female",40,"United-States"
20577,37,"Publico-Nacional","Divorciado","Personal administrativo","Female",35,"United-States"
20677,18,"Privado","Soltero","Ventas","Female",40,"United-States"
20777,36,"Privado","Casado","Servicios generales","Male",36,"United-States"
20877,35,"Privado","Divorciado","Mantenimiento y Reparaciones generales","Male",60,"United-States"
20977,58,"Independiente","Casado","Ventas","Female",35,"United-States"
21077,17,"Privado","Soltero","Ventas","Female",12,"United-States"
21177,44,"Publico-Municipal","Casado","Transporte","Male",40,"United-States"
21277,37,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
21377,35,"Privado","Soltero","Ventas","Female",40,"United-States"
21477,60,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
21577,54,"Independiente","Casado","Personal de inspeccion ","Male",40,"United-States"
21677,37,"Privado","Soltero","Ejecutivo y Gerencial","Male",60,"United-States"
21777,50,"Privado","Divorciado","Ventas","Female",40,"United-States"
21977,45,"Privado","Casado","Personal especializado","Male",55,"United-States"
22077,25,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",40,"United-States"
22177,31,"Privado","Casado","Personal de aseo","Male",40,"United-States"
22277,64,,"Divorciado",,"Male",40,"United-States"
22377,90,"Privado","Soltero","Servicios generales","Male",40,"United-States"
22477,54,"Privado","Casado","Personal administrativo","Male",20,"United-States"
22577,53,"Publico-Municipal","Soltero","Personal de inspeccion ","Female",35,"United-States"
22677,18,"Privado","Soltero","Ventas","Female",40,"United-States"
22777,60,,"Divorciado",,"Female",10,"United-States"
22877,66,"Independiente","Casado","Agricultura","Male",50,"United-States"
23077,65,"Privado","Divorciado","Personal administrativo","Female",40,"United-States"
23177,35,"Privado","Separado","Transporte","Male",40,"United-States"
23277,41,"Privado","Divorciado","Ventas","Female",38,"United-States"
23377,25,"Privado","Soltero","Personal administrativo","Male",42,"United-States"
23477,33,"Privado","Divorciado","Mantenimiento y Reparaciones generales","Female",40,"United-States"
23577,28,"Privado","Soltero","Personal especializado","Male",55,"United-States"
23677,59,"Publico-Nacional","Casado","Servicios generales","Male",40,"United-States"
23777,40,"Publico-Nacional","Soltero","Personal administrativo","Female",38,"United-States"
23977,38,"Publico-Municipal","Casado","Ejecutivo y Gerencial","Male",70,"United-States"
24077,23,"Privado","Soltero","Transporte","Male",40,"United-States"
24177,40,"Privado","Casado","Personal especializado","Male",40,"United-States"
24277,41,"Independiente","Casado","Servicios generales","Female",20,"United-States"
24377,24,"Publico-Nacional","Casado","Servicios de Telecomunicaciones","Male",50,"United-States"
24477,20,,"Soltero",,"Male",20,"United-States"
24577,38,"Privado","Divorciado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
24777,58,"Privado","Casado","Personal administrativo","Male",45,"United-States"
24877,32,"Privado","Soltero","Servicios generales","Female",34,"United-States"
24977,40,"Privado","Casado","Apoyo técnico","Male",60,"United-States"
25177,41,"Privado","Casado","Personal especializado","Female",40,"United-States"
25277,42,"Privado","Casado","Personal administrativo","Female",40,"United-States"
25377,59,"Publico-Municipal","Viudo","Servicios generales","Female",30,"United-States"
25477,19,"Publico-Municipal","Soltero","Personal administrativo","Male",40,"United-States"
25577,58,"Privado","Soltero","Transporte","Male",20,"United-States"
25777,20,"Privado","Soltero","Servicios generales","Female",40,"United-States"
25877,32,"Privado","Separado","Servicios generales","Female",30,"United-States"
25977,45,"Privado","Viudo","Ejecutivo y Gerencial","Female",45,"United-States"
26077,50,"Privado","Divorciado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
26177,36,"Privado","Divorciado","Personal especializado","Female",40,"United-States"
26277,45,"Privado","Casado","Ventas","Male",60,"United-States"
26377,17,"Privado","Soltero","Servicios generales","Male",12,"United-States"
26477,59,"Privado","Casado","Ventas","Male",40,"United-States"
26577,26,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
26877,64,"Privado","Casado","Ejecutivo y Gerencial","Male",40,"United-States"
26977,33,"Privado","Soltero","Personal especializado","Female",45,"United-States"
27077,33,"Privado","Casado","Mantenimiento y Reparaciones generales","Female",40,"United-States"
27177,61,"Privado","Casado","Ejecutivo y Gerencial","Male",40,"United-States"
27277,17,"Privado","Soltero","Servicios generales","Male",24,"United-States"
27377,50,"Independiente","Casado","Agricultura","Male",98,"United-States"
27477,27,"Publico-Municipal","Soltero","Personal especializado","Male",35,"United-States"
27577,30,"Privado","Divorciado","Personal especializado","Female",40,"United-States"
27677,43,"Privado","Casado","Personal de aseo","Male",40,"United-States"
27777,44,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
27877,35,"Privado","Soltero","Ejecutivo y Gerencial","Female",40,"United-States"
27977,25,"Privado","Soltero","Apoyo técnico","Female",40,"United-States"
28077,24,"Privado","Casado","Personal de inspeccion ","Female",48,"United-States"
28277,42,"Publico-Municipal","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
28377,34,"Privado","Divorciado","Ventas","Female",45,"United-States"
28477,60,"Privado","Divorciado","Personal especializado","Female",42,"United-States"
28577,21,"Privado","Soltero","Personal de aseo","Male",40,"United-States"
28677,57,"Publico-Departamental","Casado","Ventas","Male",40,"United-States"
28777,41,"Privado","Casado","Personal especializado","Male",60,"United-States"
28877,50,"Privado","Divorciado","Servicios generales","Male",45,"United-States"
28977,25,"Privado","Soltero","Ejecutivo y Gerencial","Female",40,"United-States"
29177,36,"Privado","Casado","Personal especializado","Male",45,"United-States"
29277,31,"Privado","Divorciado","Personal especializado","Female",40,"United-States"
29377,29,"Publico-Municipal","Soltero","Servicios de Telecomunicaciones","Male",56,"United-States"
29477,21,"Privado","Soltero","Ventas","Male",45,"United-States"
29577,27,"Privado","Soltero","Apoyo técnico","Female",40,"United-States"
29677,65,"Privado","Casado","Transporte","Male",16,"United-States"
29777,37,"Independiente","Divorciado","Ventas","Female",60,"United-States"
29977,24,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",40,"United-States"
30077,38,"Privado","Divorciado","Ventas","Male",80,"United-States"
30177,48,"Privado","Casado","Personal administrativo","Male",40,"United-States"
30277,21,"Privado","Soltero","Servicios generales","Female",25,"United-States"
30377,31,"Privado","Casado","Transporte","Male",45,"United-States"
30477,55,"Privado","Casado","Ventas","Male",40,"United-States"
30677,43,"Privado","Divorciado","Personal administrativo","Female",40,"United-States"
30777,26,"Privado","Soltero","Apoyo técnico","Male",45,"United-States"
30877,46,"Privado","Soltero","Personal especializado","Female",33,"United-States"
30977,35,"Privado","Casado","Personal administrativo","Male",40,"United-States"
31077,41,"Independiente","Casado","Agricultura","Male",54,"United-States"
31177,26,"Privado","Soltero","Ventas","Male",40,"United-States"
31377,19,,"Soltero",,"Female",25,"United-States"
31477,36,"Independiente",,"Personal especializado","Female",40,"United-States"
31577,22,"Privado","Soltero","Ventas","Male",15,"United-States"
31677,24,"Privado","Soltero","Personal de inspeccion ","Male",40,"United-States"
31777,77,"Independiente","Casado","Ventas","Male",40,"United-States"
31977,29,"Privado","Soltero","Apoyo técnico","Female",40,"United-States"
32077,62,"Privado","Viudo","Servicios generales","Female",24,"United-States"
32177,39,"Independiente","Casado","Ejecutivo y Gerencial","Male",40,"United-States"
32277,43,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",50,"United-States"
32377,35,"Privado","Divorciado","Transporte","Male",45,"United-States"
32477,29,"Privado","Soltero","Ejecutivo y Gerencial","Female",40,"United-States"
32577,76,"Independiente","Casado","Mantenimiento y Reparaciones generales","Male",10,"United-States"
32677,63,"Independiente","Casado","Agricultura","Male",45,"United-States"
32777,23,,"Soltero",,"Female",15,"United-States"
32877,43,"Privado","Casado","Personal especializado","Female",50,"United-States"
32977,58,"Independiente","Casado","Personal de aseo","Male",40,"United-States"
33077,66,"Privado","Soltero","Transporte","Male",55,"United-States"
33177,41,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",45,"United-States"
33277,26,"Privado","Soltero","Personal administrativo","Male",40,"United-States"
33377,47,"Privado","Soltero","Servicios generales","Male",40,"United-States"
33477,55,"Publico-Municipal","Casado","Personal administrativo","Male",40,"United-States"
33577,53,"Privado","Casado","Transporte","Male",40,"United-States"
33777,30,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",40,"United-States"
33877,49,"Privado","Soltero","Personal especializado","Male",60,"United-States"
34077,45,"Privado","Casado","Servicios generales","Male",40,"United-States"
34177,26,"Privado",,"Ventas","Male",40,"United-States"
34277,38,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
34377,36,"Publico-Nacional","Casado","Servicios de Telecomunicaciones","Male",40,"United-States"
34477,33,"Privado","Soltero","Agricultura","Male",20,"United-States"
34577,22,"Publico-Nacional","Soltero","Servicios de Telecomunicaciones","Female",40,"United-States"
34677,43,"Independiente","Soltero","Ventas","Male",42,"United-States"
34777,67,,"Casado",,"Male",8,"United-States"
34877,30,,"Divorciado",,"Female",40,"United-States"
35077,31,"Privado","Soltero","Personal especializado","Male",25,"United-States"
35177,33,"Privado","Casado","Ejecutivo y Gerencial","Male",40,"United-States"
35277,26,"Privado","Casado","Servicios generales","Male",40,"United-States"
35377,33,"Privado","Casado","Ejecutivo y Gerencial","Male",40,"United-States"
35477,46,"Publico-Municipal","Casado","Transporte","Male",30,"United-States"
35577,59,,"Casado",,"Male",40,"United-States"
35677,38,"Publico-Departamental","Casado","Personal administrativo","Male",40,"United-States"
35777,65,"Privado","Viudo","Servicios generales","Male",40,"United-States"
35877,40,"Privado","Casado","Apoyo técnico","Male",40,"United-States"
35977,42,"Privado","Casado","Personal administrativo","Female",35,"United-States"
36177,36,"Privado","Casado","Servicios generales","Female",24,"United-States"
36277,62,"Privado","Casado","Personal especializado","Male",40,"United-States"
36377,43,"Privado","Casado","Transporte","Male",45,"United-States"
36477,43,"Privado","Divorciado","Ejecutivo y Gerencial","Male",45,"United-States"
36577,22,"Privado","Casado","Ventas","Male",55,"United-States"
36677,28,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
36777,56,"Independiente","Casado","Ventas","Male",45,"United-States"
36877,22,"Privado","Soltero","Ventas","Female",15,"United-States"
36977,57,"Privado","Divorciado","Ejecutivo y Gerencial","Female",45,"United-States"
37077,39,"Privado","Divorciado","Ventas","Female",40,"United-States"
37177,26,"Publico-Departamental","Soltero","Personal administrativo","Female",15,"United-States"
37277,17,"Privado","Soltero","Servicios generales","Male",10,"United-States"
37377,40,"Publico-Nacional","Casado","Personal de inspeccion ","Male",38,"United-States"
37477,45,"Privado","Casado","Personal de inspeccion ","Male",40,"United-States"
37577,44,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",40,"United-States"
37677,20,"Publico-Municipal","Soltero","Personal administrativo","Female",10,"United-States"
37777,33,"Privado",,"Mantenimiento y Reparaciones generales","Female",40,"United-States"
37877,23,"Privado","Soltero","Ventas","Male",40,"United-States"
37977,46,"Independiente","Divorciado","Ejecutivo y Gerencial","Male",30,"United-States"
38077,38,"Privado","Casado","Ventas","Male",50,"United-States"
38177,54,"Privado","Divorciado","Transporte","Male",40,"United-States"
38277,46,"Privado","Divorciado","Mantenimiento y Reparaciones generales","Female",45,"United-States"
38377,25,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
38477,46,"Privado","Divorciado","Ventas","Female",40,"United-States"
38577,36,"Publico-Municipal","Casado","Transporte","Female",40,"United-States"
38677,23,"Privado","Soltero","Servicios generales","Female",25,"United-States"
38777,29,"Privado","Separado","Personal de inspeccion ","Male",40,"United-States"
38877,44,"Privado","Casado","Personal administrativo","Female",6,"United-States"
38977,19,"Privado","Soltero","Personal administrativo","Female",16,"United-States"
39077,19,"Privado","Soltero","Servicios generales","Female",40,"United-States"
39177,35,"Privado","Casado","Servicios generales","Female",40,"United-States"
39277,27,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",50,"United-States"
39377,46,"Independiente","Separado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
39577,34,"Privado","Soltero","Servicios generales","Female",35,"United-States"
39677,44,"Privado","Casado","Apoyo técnico","Male",40,"United-States"
39777,45,"Privado","Divorciado","Personal de aseo","Female",40,"United-States"
39877,20,,"Soltero",,"Female",35,"United-States"
39977,25,"Privado","Casado","Ejecutivo y Gerencial","Male",55,"United-States"
40077,52,"Independiente","Casado","Ejecutivo y Gerencial","Male",50,"United-States"
40177,20,"Privado","Soltero","Personal de aseo","Male",40,"United-States"
40277,28,"Privado","Soltero","Servicios generales","Female",40,"United-States"
40377,50,"Publico-Nacional","Casado","Servicios de Telecomunicaciones","Male",40,"United-States"
40477,34,"Privado","Divorciado","Apoyo técnico","Female",64,"United-States"
40677,41,"Privado","Casado","Ejecutivo y Gerencial","Male",65,"United-States"
40777,28,"Privado","Casado","Personal administrativo","Male",40,"United-States"
40877,46,"Independiente","Casado","Mantenimiento y Reparaciones generales","Male",25,"United-States"
40977,28,,"Casado",,"Female",40,"United-States"
41077,32,"Privado","Casado","Ejecutivo y Gerencial","Male",50,"United-States"
41177,41,"Publico-Municipal","Divorciado","Servicios generales","Female",24,"United-States"
41277,24,"Privado","Soltero","Personal de aseo","Female",40,"United-States"
41377,33,"Privado","Divorciado","Ejecutivo y Gerencial","Female",40,"United-States"
41477,46,"Privado","Casado","Ejecutivo y Gerencial","Male",60,"United-States"
41577,31,"Publico-Nacional","Casado","Personal de inspeccion ","Male",40,"United-States"
41677,35,"Privado","Divorciado","Mantenimiento y Reparaciones generales","Male",50,"United-States"
41877,30,"Privado","Soltero","Servicios generales","Female",19,"United-States"
41977,34,"Publico-Municipal","Separado","Personal de inspeccion ","Male",40,"United-States"
42077,34,"Publico-Nacional","Divorciado","Transporte","Female",40,"United-States"
42177,20,"Privado","Casado","Ventas","Male",30,"United-States"
42277,17,"Privado","Soltero","Personal de aseo","Male",18,"United-States"
42377,32,"Publico-Nacional","Casado","Ejecutivo y Gerencial","Female",40,"United-States"
42477,29,"Privado","Divorciado","Agricultura","Male",40,"United-States"
42577,33,"Privado",,"Mantenimiento y Reparaciones generales","Female",35,"United-States"
42677,25,"Privado","Casado","Transporte","Male",60,"United-States"
42777,36,"Publico-Departamental","Soltero","Personal especializado","Male",40,"United-States"
42977,63,"Independiente","Casado","Ejecutivo y Gerencial","Male",40,"United-States"
43077,47,"Publico-Municipal","Casado","Personal especializado","Male",40,"United-States"
43177,80,,"Viudo",,"Male",24,"United-States"
43277,17,,"Soltero",,"Male",40,"United-States"
43377,40,"Independiente","Casado","Personal especializado","Female",40,"United-States"
43477,30,"Privado","Casado","Servicios generales","Female",25,"United-States"
43677,33,"Privado","Casado","Personal especializado","Male",50,"United-States"
43777,34,"Publico-Municipal","Soltero","Agricultura","Male",60,"United-States"
43877,34,"Publico-Municipal","Soltero","Servicios de Telecomunicaciones","Female",40,"United-States"
43977,23,"Privado","Casado","Personal administrativo","Male",40,"United-States"
44077,42,"Publico-Municipal","Casado","Personal administrativo","Female",40,"United-States"
44177,29,"Privado","Soltero","Personal especializado","Male",40,"United-States"
44277,45,"Privado","Divorciado","Personal administrativo","Female",28,"United-States"
